contractor_id,district_id,company_size,years_active,number_of_workers,complaint_count,resolved_cases,average_delay_days,average_wage_gap,risk_index,NGO_reports,inspection_history,blacklisted
C00001,D046,7,2.8,7,3,1,6.3,30.79,20.49,1,0,False
C00002,D010,5,7.7,5,6,3,29.5,38.22,30.78,1,2,False
C00003,D070,1,14.2,1,3,1,0.1,4.94,15.95,0,1,False
C00004,D022,16,10.5,16,2,1,1.8,8.28,9.37,1,1,False
C00005,D074,14,1.2,14,0,0,3.4,10.48,5.87,1,3,False
C00006,D006,38,3.4,38,1,0,0.6,0.0,9.6,0,4,False
C00007,D090,3,2.1,3,6,3,5.0,35.84,17.47,1,2,False
C00008,D056,2,2.6,2,4,2,8.0,70.32,32.12,1,3,False
C00009,D034,8,2.2,8,0,0,1.5,43.95,4.27,0,0,False
C00010,D099,11,8.8,11,7,4,8.8,3.7,22.59,0,1,False
C00011,D003,30,3.0,30,3,2,6.4,0.0,23.39,1,3,False
C00012,D041,49,3.7,49,5,2,5.2,49.31,11.86,0,2,False
C00013,D060,41,20.2,41,5,3,2.0,29.86,25.46,0,0,False
C00014,D012,16,0.3,16,2,1,8.8,16.28,14.22,3,0,False
C00015,D051,27,3.3,27,1,0,4.0,0.0,5.51,0,1,False
C00016,D070,6,7.4,6,4,2,1.5,10.28,19.53,0,2,False
C00017,D094,14,0.8,14,1,0,17.4,18.37,12.52,1,3,False
C00018,D094,3,4.7,3,1,0,9.1,73.5,19.77,1,2,False
C00019,D087,12,1.4,12,1,0,0.4,16.57,12.57,0,1,False
C00020,D032,13,10.1,13,5,2,3.7,47.73,25.44,2,2,False
C00021,D011,68,2.0,68,7,3,0.1,41.19,41.37,1,0,False
C00022,D039,9,2.0,9,6,4,3.3,24.34,18.38,0,2,False
C00023,D021,13,4.6,13,4,3,9.6,44.66,27.58,0,1,False
C00024,D071,15,1.0,15,0,0,0.8,6.54,5.67,0,1,False
C00025,D070,7,1.7,7,5,3,1.4,31.82,27.78,0,1,False
C00026,D008,5,2.7,5,6,3,30.5,77.72,32.12,1,0,False
C00027,D016,44,2.2,44,7,5,2.0,53.56,39.41,1,1,False
C00028,D076,4,3.7,4,2,0,12.0,12.89,11.07,0,2,False
C00029,D050,3,4.6,3,2,1,4.2,23.62,12.49,0,3,False
C00030,D014,24,4.2,24,1,0,0.8,19.49,18.91,0,1,False
C00031,D018,38,5.3,38,5,1,18.9,69.44,34.25,1,0,False
C00032,D100,7,1.8,7,0,0,1.6,0.0,2.53,0,1,False
C00033,D042,7,0.7,7,0,0,0.3,0.0,7.0,0,3,False
C00034,D013,16,7.2,16,5,4,3.2,40.42,12.18,1,2,False
C00035,D030,6,9.5,6,6,4,12.0,34.19,18.49,1,2,False
C00036,D076,5,1.5,5,9,7,8.5,8.37,19.16,0,1,False
C00037,D039,29,2.6,29,4,3,0.9,4.93,13.32,1,4,False
C00038,D034,22,3.5,22,1,0,0.2,13.33,6.0,0,2,False
C00039,D017,45,3.8,45,6,4,6.6,0.0,25.24,1,2,False
C00040,D021,3,5.4,3,1,0,3.7,33.37,18.77,0,3,False
C00041,D046,7,0.2,7,9,8,20.7,41.99,19.83,1,0,False
C00042,D039,16,6.4,16,12,9,6.5,54.43,38.46,0,2,False
C00043,D064,4,0.3,4,2,1,0.8,34.36,17.17,0,1,False
C00044,D064,23,3.2,23,2,1,2.7,66.33,18.77,0,3,False
C00045,D093,41,8.8,41,8,6,0.6,57.1,39.12,1,0,False
C00046,D007,6,3.0,6,1,0,1.7,0.0,9.02,0,1,False
C00047,D033,12,0.8,12,2,1,37.1,23.76,27.38,0,1,False
C00048,D098,52,21.0,52,3,2,3.9,23.73,10.94,0,0,False
C00049,D044,73,11.0,73,3,2,1.6,10.17,10.95,0,1,False
C00050,D077,25,7.4,25,5,4,13.8,25.71,19.53,0,4,False
C00051,D097,22,2.7,22,3,2,2.2,62.07,21.16,1,0,False
C00052,D002,5,1.0,5,0,0,1.7,5.23,8.16,0,0,False
C00053,D093,17,14.2,17,8,6,7.6,7.1,14.68,0,5,False
C00054,D068,21,3.8,21,4,2,5.7,31.84,16.03,1,1,False
C00055,D096,9,9.6,9,3,1,0.4,53.01,23.54,1,4,False
C00056,D033,6,2.1,6,3,2,4.4,33.24,6.58,0,2,False
C00057,D019,3,2.0,3,0,0,2.6,56.11,8.94,0,2,False
C00058,D050,2,21.2,2,9,7,29.7,68.31,22.52,2,0,False
C00059,D028,1,3.7,1,5,3,16.3,28.89,22.96,0,0,False
C00060,D025,21,0.8,21,2,1,1.7,15.24,8.89,1,2,False
C00061,D040,14,1.2,14,1,0,4.1,2.97,9.36,0,0,False
C00062,D022,7,3.3,7,6,3,10.7,11.58,25.51,1,1,False
C00063,D040,8,0.2,8,4,2,0.3,72.67,29.65,0,2,False
C00064,D094,15,3.1,15,8,5,6.6,19.01,29.59,1,0,False
C00065,D030,10,2.7,10,3,2,1.7,14.46,9.75,1,1,False
C00066,D064,3,7.6,3,0,0,0.3,10.77,3.64,0,2,False
C00067,D055,30,2.2,30,2,1,0.2,43.8,11.07,0,1,False
C00068,D046,16,20.2,16,0,0,1.2,24.61,4.29,0,1,False
C00069,D024,15,1.0,15,7,5,2.7,27.44,16.66,1,1,False
