district_id,crime_rate,migration_rate,flood_risk,heat_index,worker_density,labour_shortage,inspection_rate,ngo_presence,economic_distress,vulnerability_index
D001,50.03,10.1,25.39,36.4,220.3,82.6,49.16,4,53.91,44.59
D002,44.3,11.14,30.18,35.2,270.0,82.5,18.42,4,46.04,44.19
D003,42.77,15.12,14.59,38.7,300.3,63.0,2.94,2,44.87,63.98
D004,35.25,20.7,16.66,32.8,302.3,72.6,43.83,2,65.54,71.4
D005,36.04,17.95,11.81,35.7,277.5,69.0,22.02,3,42.58,47.4
D006,56.19,24.9,22.65,33.4,331.1,64.5,12.73,1,59.23,99.58
D007,39.35,12.2,12.15,36.1,246.6,72.4,56.23,1,49.42,52.52
D008,38.18,6.39,17.19,36.5,292.9,66.4,13.52,5,51.18,35.68
D009,40.51,21.02,28.33,36.7,306.0,69.6,18.93,0,51.61,82.66
D010,35.54,17.48,19.35,31.8,325.7,63.3,27.89,2,65.28,73.39
D011,51.94,17.98,19.54,32.3,335.6,67.8,25.85,3,54.09,67.77
D012,28.46,7.82,18.25,32.9,243.8,75.4,17.14,2,46.18,44.2
D013,39.77,19.54,28.54,34.3,223.3,76.5,39.03,2,59.92,69.28
D014,43.86,8.42,23.39,35.3,363.9,59.1,13.88,1,40.49,56.82
D015,37.04,9.12,22.29,37.1,316.6,65.5,46.59,1,46.08,47.89
D016,38.02,19.13,13.13,32.5,262.6,77.5,61.58,3,49.49,43.73
D017,58.81,11.4,16.03,30.2,377.6,64.7,30.74,1,49.9,73.15
D018,46.02,10.38,25.32,41.5,305.8,64.5,31.17,2,56.4,63.53
D019,48.87,10.32,0.0,31.6,359.0,64.6,13.47,0,50.08,77.93
D020,43.77,23.66,21.19,37.5,303.4,73.4,72.39,1,49.64,61.54
D021,46.72,15.72,27.15,35.1,403.0,51.3,11.91,7,42.0,28.88
D022,36.98,11.92,26.33,35.8,387.8,63.9,28.54,6,44.91,22.78
D023,43.36,9.02,18.35,35.0,287.6,67.9,51.43,1,44.64,48.91
D024,36.32,19.62,17.55,33.8,348.6,68.0,15.65,1,46.42,68.06
D025,48.75,16.41,19.41,36.4,332.3,63.0,26.06,4,50.39,53.98
D026,30.0,15.16,17.47,33.7,368.4,54.1,13.98,5,42.69,30.47
D027,48.25,12.89,29.68,38.5,251.8,66.7,38.81,5,41.77,31.16
D028,44.18,16.36,9.11,36.7,334.3,66.8,46.42,0,57.46,77.26
D029,57.26,10.97,10.24,36.8,352.9,66.0,12.85,5,38.78,40.67
D030,40.9,12.98,31.15,33.5,212.1,74.3,5.52,3,53.33,61.58
D031,48.93,23.53,32.23,34.3,240.8,79.1,1.73,7,54.44,53.4
D032,59.08,16.42,6.86,31.4,198.0,71.9,15.92,3,44.98,65.24
D033,41.29,15.99,12.67,33.9,286.5,71.0,26.67,3,57.65,62.1
D034,37.35,5.56,11.91,31.9,335.9,60.4,52.97,3,44.75,28.23
D035,37.4,18.15,24.7,38.9,375.1,59.2,30.71,4,42.72,39.3
D036,51.1,13.66,6.08,35.2,303.7,69.9,25.05,4,49.61,52.39
D037,48.86,20.42,9.8,35.5,381.4,57.6,40.36,3,49.78,59.23
D038,51.41,14.53,21.18,34.3,231.0,75.0,36.96,3,51.68,58.1
D039,40.42,15.77,19.88,35.6,214.8,83.5,22.08,3,42.64,48.17
D040,61.96,16.94,13.7,42.4,297.2,67.4,9.07,2,64.21,95.11
D041,41.73,14.53,22.68,34.1,319.2,72.3,42.63,4,35.3,27.46
D042,57.09,9.08,25.15,33.0,298.4,64.5,30.77,1,54.18,73.95
D043,37.73,18.83,16.84,36.6,196.6,83.0,8.69,0,53.76,84.13
D044,46.64,10.94,20.56,27.4,295.5,77.7,31.99,7,47.89,23.39
D045,52.67,2.25,13.99,35.2,234.8,64.2,17.25,1,46.47,61.28
D046,44.93,15.99,17.56,33.9,333.5,62.7,52.36,1,62.09,73.47
D047,47.16,13.72,19.99,32.0,318.3,71.1,14.41,1,43.47,66.87
D048,30.03,11.26,21.9,36.5,253.0,73.7,43.69,3,54.19,41.26
D049,41.2,15.47,25.84,35.2,274.3,74.4,56.2,1,57.7,65.0
D050,37.81,17.14,18.39,29.6,247.0,72.3,20.39,3,41.85,47.59
D051,52.66,10.68,25.2,33.1,296.9,70.7,26.53,6,47.69,35.15
D052,29.46,10.31,24.83,26.3,347.8,64.4,34.3,1,44.62,46.69
D053,69.24,6.87,10.64,35.9,250.7,80.8,30.82,2,33.58,53.06
D054,56.2,13.69,17.19,35.8,325.2,68.8,7.85,3,54.83,72.94
D055,36.53,13.06,17.0,32.6,273.5,74.3,20.42,3,47.46,48.24
D056,56.39,29.74,33.2,36.6,260.4,71.9,46.76,7,71.32,66.13
D057,45.92,16.81,15.63,31.2,294.6,68.1,22.44,5,39.93,36.99
D058,41.16,11.6,12.38,32.1,248.2,73.0,56.43,2,44.03,41.28
D059,45.45,12.79,35.36,36.3,272.3,74.7,45.84,1,48.31,59.35
D060,27.77,6.17,13.08,32.9,240.1,73.9,22.87,7,38.24,0.0
D061,38.59,9.41,22.67,34.8,398.2,61.6,19.42,5,44.8,30.74
D062,32.14,15.05,16.68,33.3,301.8,80.2,11.4,3,44.23,47.11
D063,60.75,15.71,13.48,33.8,265.0,77.9,11.89,2,64.37,92.37
D064,66.04,21.66,9.77,33.9,310.7,67.3,22.43,3,62.75,90.09
D065,53.4,15.91,26.96,32.9,294.4,76.6,17.48,2,61.72,83.38
D066,31.84,17.64,0.0,35.9,289.0,69.1,23.81,4,52.02,46.51
D067,38.59,21.27,33.5,33.1,330.7,56.7,43.79,3,48.47,50.98
D068,43.36,19.17,27.21,35.0,337.9,61.2,30.51,3,40.75,48.82
D069,53.88,16.4,15.68,32.8,273.5,63.3,41.1,6,61.03,49.79
D070,43.79,17.81,22.7,30.4,271.2,71.1,23.84,1,53.76,75.64
D071,50.98,19.12,26.93,37.7,286.2,71.5,30.56,4,41.59,48.03
D072,53.97,20.61,28.86,36.5,184.9,89.9,22.43,2,75.32,100.0
D073,43.96,18.56,21.19,41.9,224.2,79.2,22.83,2,55.08,71.61
D074,44.28,15.15,18.19,31.9,368.3,62.1,60.14,3,39.96,35.09
D075,55.6,14.21,25.05,34.4,382.2,65.9,18.61,3,52.91,67.68
D076,36.38,10.84,25.59,34.6,287.5,60.2,33.22,1,45.85,53.25
D077,46.97,16.89,27.03,38.0,328.8,68.3,15.36,3,45.03,58.04
D078,48.81,12.26,20.4,33.5,315.6,72.3,58.96,2,56.53,58.27
D079,57.89,15.75,25.94,31.5,453.9,47.2,13.6,4,47.79,60.79
D080,49.8,17.61,23.86,38.6,356.0,70.1,14.53,6,55.11,51.18
D081,48.27,6.21,13.68,34.1,293.6,72.3,46.96,5,52.25,32.23
D082,32.32,10.33,30.2,37.6,252.2,72.7,34.71,5,47.03,24.76
D083,53.11,19.52,18.23,37.3,219.7,81.2,22.44,3,50.05,67.21
D084,43.69,16.38,28.29,34.9,310.2,80.3,38.07,3,51.05,53.9
D085,36.71,15.42,22.43,34.5,262.2,74.7,25.27,0,44.3,65.52
D086,39.25,14.55,19.43,33.8,228.9,78.4,19.18,3,41.99,46.53
D087,39.57,19.58,9.56,35.0,267.7,70.9,21.78,4,48.15,50.31
D088,38.69,7.29,22.12,37.6,245.9,71.2,54.7,6,47.02,12.92
D089,51.27,21.53,21.26,32.6,384.4,65.7,43.2,2,55.52,73.06
D090,43.62,18.59,22.71,35.3,344.1,61.3,33.75,1,49.52,68.94
D091,56.87,12.88,14.65,31.6,299.6,70.4,28.01,2,46.47,64.37
D092,49.34,17.19,23.63,32.0,374.0,60.2,20.47,2,56.06,75.49
D093,42.31,14.17,23.15,34.9,303.9,72.0,19.78,1,55.06,73.72
D094,64.92,20.2,31.06,29.1,256.9,76.0,42.01,2,48.0,73.7
D095,56.21,19.79,33.3,41.2,376.2,67.6,9.46,5,47.9,58.6
D096,31.71,16.22,8.25,31.4,326.9,64.8,6.83,6,52.76,38.27
D097,40.27,5.1,21.06,34.9,248.1,73.8,37.34,4,45.26,28.75
D098,49.33,16.42,18.0,38.5,290.5,66.1,18.15,2,62.38,81.65
D099,43.94,10.91,18.75,32.4,256.2,72.2,46.88,5,28.01,10.37
D100,37.0,3.85,12.69,28.1,230.9,78.8,44.18,4,33.31,11.52
